,Message,Length
0,nt is for kernel no?,20
1,idiot,5
2,there different between kernel and usermode,43
3,It's not an issue with my pc,28
4,That's an access violation thrown by hyperion,45
5,You are retarded,16
6,:p,2
7,that exception code is STATUS_UNSUCCESSFUL,42
8,color of messagebox,19
9,That's the stupidest response I've ever seen here,49
10,nobrain,7
11,there is something wrong with you compute,41
13,lol neger moment,16
14,¯\_(ツ)_/¯,9
15,getfield there are other alternatives,37
16,why are you using,17
17,only happens when trying to getfield from game,46
18,access violation on lua_getfield 🙏,34
19,capybara in cyrilics,20
20,HEHEHEHE,8
21,no,2
22,i need help,11
23,hi,2
24,or vector1 real real,20
25,Vector3 🙏,9
26,but thanks for the advice,25
27,i made it work now it gets head position of enemy,49
28,"for skids that still don't get it 0x11C is offset for CFrame, but he's trying to read int from it which will not work, bro needed to use CFrame type.",149
29,👍,1
30,fixed it,8
31,"int location = 0;\n        mem_read<int>( + 0x11c, &location);\n\nhow i make this work guys",91
32,ban gooner,10
33,back,4
34,"can someone explain how the offset calculations work in roblox?\n(like getting the localplayer's walkspeed, jumppower, cframe etc)",130
35,to make the rat work,20
36,exactly,7
37,yes,3
38,to make it work,15
39,ratted executor,15
40,i was about to add,18
41,executor,8
42,a,1
43,eis,3
44,ther,4
45,ur rat?,7
46,what will work,14
47,.,1
48,this?,5
49,i will screenshot ur shit,25
50,ok add me to ur server,22
51,i was testing the shit,22
52,whatever nigga im tired of yapping bye,38
53,functioning executor,20
54,adding,6
55,making it work by,17
56,and u were sending screenshots of ur webhook,44
57,i was talking about,19
58,"i remember clearly ""remember its a rat, i will make it working""",63
59,how to decrypt the file adn reedit it,37
60,instruction,11
61,gave,4
62,i literally,11
63,is a rat,8
64,compiled,8
65,is,2
66,ere source,10
67,proof,5
68,ere source minimum,18
69,back then,9
70,my members,10
71,give me a proof that i ratted,29
72,LMAO,4
73,absolute lie,12
74,are u idiot,11
75,i dont rat humorous members,27
76,in ur server,12
77,"""ratting season started""",24
78,u legit said,12
79,by fix u mean ratting,21
80,stupid nigger,13
81,i fix src and leak them unlike u i dont use these source to flex my work,72
82,he already left cuz he was scared,33
83,nvm,3
84,"oh so u banned me as i can see, then get out from my server too",63
85,instead of coming to me like a good boy and yapping,51
86,do something useful atleast once in life,40
87,when actual exec,16
88,lol all u do is skidding sources and put a rat inside them,58
89,just admit that you have a brain damage,39
90,💔,1
91,as i can see u are being jealous cuz yall giving me attention,61
92,"cuz themida, vm protect, nothing helped",39
93,not like xorstr,15
94,i meant a program that obfuscates all strings,45
95,this u yn,9
96,lmao,4
97,im going to find a solution to obfuscate my shit bye,52
98,if i would have to count all your spelling errors i would get testicular cancer before i could even finish gtfo retarded bitchass faggot,136
99,then...................,23
100,thniggan what,13
101,not xor,7
102,continue programming your uncrackable xor encryption,52
103,u dont need to understand dw,28
104,wdym,4
105,translated?,11
106,noob i was trying to remember,29
107,what a big discover,19
108,(his sources are ratted),24
109,it was nevy not nemi,20
110,negative qi,11
111,your above stupid,17
112,🧠 ❌,3
113,please do it,12
114,you are still in time to delete all your messages,49
115,listen,6
116,vro,3
117,fosho u past shit,17
118,like hyperion dev,17
119,he literally works for byfron,29
120,nigga dont u know whos nemi,27
121,i heard similiar nickname for someone that was doing fake solara rats,69
122,LOOL,4
123,oh wait,7
124,isnt nemi a ratter,18
125,nemi,4
126,0xNemi,6
127,ok noob whats ur main,21
128,nigga u disabled,16
129,this information is public,26
130,i specified this account is my alt,34
131,and started to yap after 3 days,31
132,interesting that u created this acc and joined this server at the same time,75
133,on gambling,11
134,and losing all ur shit,22
135,keep hoping,11
136,i hope every russian skid larping online will get a ransomware booted in their dns youre above stupid anyone could rat your ass,127
137,ok noob,7
138,i hope putin get some kind of heart deseases,44
139,"no noob, since putin wants peace too",36
140,ong ong,7
141,i hope usa will nuke your ass,29
142,"no, only russians are these retarded",36
143,that could be anyone else,25
144,yeah i can smell russians by how they type,42
145,my nickname says it,19
146,im russian,10
147,you sound so much russian or indian,35
148,i would be happy only,21
149,continue losing all ur shit,27
150,if u dont have an argument keep ur mouth shut,45
151,no arguments,12
152,teach me,8
153,how r u so cold,15
154,🥶,1
155,lose them all,13
156,good,4
157,my life savings,15
158,nigga shut the fuck up im gambling,34
159,ok then why u trying to get attention from me,45
160,completely,10
161,your irrelevant,15
162,everyone dont gaf about you,27
163,youre the only one i got problems with lmao,43
164,trying to get attention from me probably,40
165,u larp everyday,15
166,u started to yap first,22
167,prove it,8
168,u are more retarded than me,27
169,im grateful for my parents not raising me so fucking brain dead nigga,69
170,ok noob what u achieved,23
171,so that wasnt even a question,29
172,by larping everyday,19
173,did u achieve something in ur life,34
174,what color is ur working internal exec,38
175,I think you lack this,21
176,🧠,1
177,so what u tried to yap,22
178,learning disabilty,18
179,what does it mean,17
180,describe it to me then,22
181,ts so corny,11
182,its fucking spelt correctly you brain dead nigga,48
183,SLD,3
184,ur words aint paid,18
185,nigga type properly,19
186,huh,3
187,wdym by sld,11
188,ah yes i see your sld,21
189,lollll,6
190,type shit you tard,18
191,wdym by racks,13
192,you got,7
193,how many racks,14
194,as long as ur parents feed u,28
195,atleast im not broke asf,24
196,lazy ass get the fuck out of chair and go get employed,54
197,acting like someone would paste a pasted exploit when they can edit ballistic,77
198,everyday,8
199,all u do is larp,16
200,ur life is funny,16
201,protecting leaked lua inits,27
202,lmfao u funny nigga,19
203,still needs to be protected,27
204,which is probably leaked aswell,31
205,i have a lua init script which i need to protect,48
206,if theres no auth system theres NO point on securing it,55
207,makes sense,11
208,oh yes if you dont obsfucate the dll people will ctrl+c the whole code and paste it,83
209,alot of time,12
210,i wasted my time while doing it,31
211,so people wouldnt paste it too,30
212,dumbass nn,10
213,why would u even secure a pasted exploit,40
214,yeah its so important to crack a ballistic paste holy shit,58
215,every public encryption shit is crackable,41
216,make your own obsfucator scriptkiddie there are plenty of youtube tutorials on how to devirtualize themida,106
217,so thats why i tried,20
218,it can obfuscate dll wdym,25
219,totally not virtualizing executables,36
220,"yes vro, themida obsfucator",27
221,roblox wont fucking accept my dll!!!!,37
222,but when i obfuscate with themida or vm protect....,51
223,maybe it will open ur eyes again,32
224,using xor are usually at the easiest level u cant be real securing your shit with it,84
225,Using xor is crazy,18
226,so thats why im searching for alternative solution,50
227,it worked,9
228,when i removed it,17
229,but xorstr crashes my shit for other people,43
230,maybe it will open eyes for u,29
231,me when xor exist for a reason (for skids),42
232,Nigga you cant be talking,25
233,my cum will fill ur lungs up,28
234,u have to suck my dick,22
235,hows that attention seeking,27
236,and steal their shit,20
237,is to fuck people,17
238,all i did,9
239,i never seek attention,22
240,we all know youre a fed,23
241,another attention seeker,24
242,another day another stupid nigger,33
243,you didnt write it lil bro,26
244,nigga all this isnt still yours,31
245,This right here proves the l33tSMC method works,47
246,no stealing my own arguments,28
247,ur prolly schizophrenic,23
248,you,3
249,nah,3
250,ur schizophrenia?,17
251,who tells u,11
252,just tells me that ur insecure as fuck,38
253,the way u insult people,23
254,no thanks,9
255,shut up woman and make me a sandwich,36
256,continue with your life lmao,28
257,💀,1
258,by arguing,10
259,what do u gain,14
260,this is useless,15
261,bro,3
264,omfg,4
265,nigga couldnt write it by himself had to scroll down a whole charapter,70
266,btw found out this shit aint even yours,39
267,gtfo fr ts pmo,14
268,bro what the fuck,17
270,no what now,11
271,u didnt,7
272,fr,2
273,btw all these are real words 🥶 💔,32
274,what a nigger,13
275,omg u didnt pass!,17
276,1,1
277,10,2
278,tell me how CKK hyperion networking handles the cctv ssld hard drive in your botnet throughout the input handler hijacked manager-of-service abusing edrs hash checks,165
279,rapes to death..,16
280,no nigga please,15
281,DID i pass your fucking skidcheck,33
282,oh no...,8
283,what a embarassment,19
284,so u dont know right,20
285,🙏,1
286,i swear,7
287,your high asf,13
288,what nigga,10
289,0,1
290,2,1
291,3,1
292,4,1
293,5,1
294,6,1
295,7,1
296,8,1
297,9,1
298,ok explain how to get impersonator,34
299,lol,3
300,i had an internal before  hyp working,37
301,u dont even got one,19
302,your shit is ballistic,22
303,what color is ur internal working exec,38
304,waste of society,16
305,skid,4
306,i hope you will get booted a ransomware through your dns,56
307,"your parents most be proud theyve grown a larp, skid, pedophile and what else. I just hope one day u will get ratted",116
308,get out of my dick and do something useful in ur life,53
309,u are larper,12
310,normal,6
311,u are not normla,16
312,bitchas nigga,13
313,atleast im normal,17
314,are you?,8
315,u are not even known,20
316,not only,8
317,🥀,1
318,no one giving you the dih,25
319,nigga look at your message history,34
320,calling me no one all your known for is being a pedophile and making unfunny zesty shit jokes,93
321,no name nigga came out from nowhere,35
322,you are the waste of this community 💔,37
323,rn u are larping,16
324,i would like to see what u doing then,37
325,all u do in ur life is larping,30
326,you would be the first one getting ratted so,44
327,ratting pdf files is underrated,31
328,😂,1
329,its not,7
330,kys gtfo,8
331,ratting is better than dedicating your fucking time to a server called sigma freaky massive spoonfeds,101
332,nigga,5
333,Wym,3
334,never knew u got skiddies,25
335,ok im going to eat bye,22
336,was this ur breakfast,21
337,and tea with cat piss,21
338,pancakes with dogshit,21
339,pancakes with tea,17
340,dogmeal,7
341,FOR SKID,8
342,DOGSHIT,7
343,some nice food,14
344,ok noob im going to eat,23
345,im dedicated to hide it 😔,25
346,past is past 💔,14
347,mad cuz i said the truth,24
348,now im fueled with anger,24
349,s,1
350,ratting,7
351,use ida,7
352,noob im saying obfuscate only the part of rattibg,49
353,u can,5
354,bro u stupid nigger,19
355,its NOT OBFUSCATED,18
356,like the part with ratting,26
357,noob u can obfuscate,20
358,UR IDA,6
359,AFFECT,6
360,U THINK IT WILL,15
361,ARE U STUPID,12
362,BRO,3
363,try,3
364,no encryptions,14
365,source,6
366,thats probably what u gonna do with velocity,44
367,i dont do that shit,19
368,9 times,7
369,u,1
370,told,4
371,i have,6
372,i have knowledge to do so,25
373,u skid a source and put a rat inside it then leak for everyone,62
374,and u admitted to ratting,25
375,skidlord_999 🔥,14
376,i never tried to lie about it,29
377,that u can,10
378,everythign,10
379,to skid,7
380,and u are dedicated,19
381,u admitted u paste ballistic,28
382,atleast its better than ratting,31
383,stop pasting ballistic,22
384,noob stop ratting omg,21
385,shutup,6
386,2000 people,11
387,ratted,6
388,i only,6
389,u always do,11
390,like ratting,12
391,im feeling,10
392,now u mention it,16
393,stop trying to rat,18
394,❤️,2
395,stupid skid,11
396,i can even send my mmap to u,28
397,i dont want to get ratted so no,31
398,[sadblob](,10
399,get on v3rm now,15
400,fighting for no reason,22
401,u got no stupid shit,20
402,imaginary,9
403,i have mmap,11
404,u cant learn shit,17
405,in his imaginary manual map,27
406,bro is writing me a rat,23
407,genius in ratting,17
408,skidd,5
409,i can send it to u,18
410,whitelist,9
411,have,4
412,i do,4
413,I HAVE MANUAL MAP,17
414,u dont have it either,21
415,I AM GENIUS,11
416,manual map when noob,20
417,he acts like he is genius,25
418,detected,8
419,and stayed by winverifytrust side,33
420,do a manual map,15
421,even,4
422,where u cant,12
423,too much,8
424,"""chatgpt what is RtlWriteDecodedUcsDataIntoSmartLBlobUcsWritingContext """,72
425,my brain have too much info to store knowledge about this when i dont use it,76
426,still waiting,13
427,whats RtlWriteDecodedUcsDataIntoSmartLBlobUcsWritingContext,59
428,u dont even know RtlWriteDecodedUcsDataIntoSmartLBlobUcsWritingContext,70
429,so do u know c++ or no,22
430,i have to relearn shits,23
431,c++,3
432,i already know,14
433,c++ when,8
434,of learning shits,17
435,python ratter,13
436,instead,7
437,u dedicated to learn skidding,29
438,because ur brain cant understand c++ or something,49
439,im not a c++ nigger as u do,27
440,u rat them instead,18
441,i dont skid sources like u do,29
442,lol mad cuz its truth,21
443,keep pasting stupid nigger,26
444,clearly,7
445,i dont need ur ratted sources,29
446,on the sources,14
447,u dont got access,17
448,get spoonfed,12
449,all he can do is skid a source then write a rat somewhere and leak,66
450,retarded stupid nigger,22
451,Content,7
452,i helped multiple executors,27
453,this noob doesnt know that luavm load lags more than luau_load,62
454,i did,5
455,noob uses luavm load instead of luau_load,41
456,that u turn into obese,22
457,and got spoonfed,16
458,u never wrote a good cheat noob,31
459,somewhere,9
460,u got,5
461,that,4
462,ballistic,9
463,all u have,10
464,im more intelligent,19
465,born to skid,12
466,atleast not level of retarded ratting,37
467,u are dedicated to skid,23
468,stop nigging ballistic,22
469,not,3
470,fucking dumbass,15
471,level of SKIDDING,17
472,this u_ this me --,18
473,ok noob get my level,20
474,NOT UR LEVEL,12
475,LITERALLY,9
476,IM,2
477,omg noob make actual legit useful better software instead of rewriting ur rat,77
478,Yeah,4
479,and distribute them,19
480,i make them,11
481,im not the one whos incharge of ratting,39
482,in ur server u announced about ratting season,45
483,i taught  how to rat,20
484,lie,3
485,oie,3
486,i left ratting,14
487,and not ratted,14
488,mine's legit,12
489,atleast not ratted and legit,28
490,type shit,9
491,ballistic revived,17
492,cuz ur shit is ballistic,24
493,whatever to not make it obvious,31
494,all u want,10
495,hidden ratted code,18
496,u can search,12
497,its not obf,11
498,obfuscated ratted code,22
499,u know it,9
500,C,1
501,its literally,13
